country;ncities;period;death;pm
Australia;3;2000 - 2009;388122;6.5 (2.2 - 17.1)
Canada;19;1999 - 2015;1824857;7.5 (1.0 - 28.1)
China;3;2013 - 2015;248716;56.7 (12.0 - 225.0)
Chile;4;2008 - 2014;293477;28.3 (4.3 - 155.5)
Estonia;1;2008 - 2015;8226;8.8 (1.3 - 24.5)
Finland;1;1999 - 2014;117610;15.1 (3.9 - 44.0)
Germany;11;2004 - 2015;1051813;14.0 (3.4 - 44.9)
Greece;1;2007 - 2010;118034;21.1 (9.7 - 39.0)
Japan;36;2011 - 2015;1303058;13.6 (2.5 - 36.4)
Mexico;3;2003 - 2012;1148573;26.2 (1.5 - 51.1)
Portugal;1;2004 - 2018;315615;11.7 (3.9 - 28.2)
South Africa;1;2004 - 2013;322999;35.9 (14.0 - 74.4)
Spain;15;2004 - 2014;410043;12.6 (1.9 - 41.3)
Switzerland;4;1999 - 2013;128779;18.2 (4.0 - 56.9)
Sweden;1;2001 - 2010;90670;7.5 (3.1 - 19.4)
Taiwan;3;2007 - 2014;506066;33.4 (10.2 - 77.4)
UK;25;1999 - 2016;1589098;11.2 (1.8 - 33.2)
USA;82;1999 - 2006;5494039;12.3 (1.1 - 54.4)
