countryname,city,period,death,pm
Australia,3,2000 - 2009,388122,7.0 (3.2 - 11.9)
Canada,19,1999 - 2015,1824857,8.0 (2.7 - 15.0)
Chile,4,2008 - 2014,293477,32.1 (8.8 - 59.7)
China,3,2013 - 2015,248716,61.2 (19.9 - 120.4)
Estonia,1,2008 - 2015,8226,9.6 (2.1 - 19.4)
Finland,1,1999 - 2014,117610,16.8 (4.8 - 34.4)
Germany,11,2004 - 2015,1051813,15.4 (5.6 - 29.0)
Greece,1,2007 - 2010,118034,21.9 (11.5 - 34.0)
Japan,36,2011 - 2015,1303058,14.3 (5.4 - 25.4)
Mexico,3,2003 - 2012,1148573,27.0 (14.0 - 41.3)
Portugal,1,2004 - 2018,315615,12.5 (4.9 - 23.2)
Spain,15,2004 - 2014,410043,13.2 (5.0 - 24.0)
Sweden,1,2001 - 2010,90670,8.2 (3.6 - 14.4)
Switzerland,4,1999 - 2013,128779,19.3 (6.7 - 35.8)
UK,25,1999 - 2016,1589098,12.3 (4.8 - 23.4)
USA,82,1999 - 2006,5494039,13.0 (5.0 - 23.4)
